id_x,host_response_rate,host_is_superhost,host_listings_count,accommodates,bedrooms,beds,maximum_nights,price,review_scores_rating,review_scores_cleanliness,review_scores_location,number_of_reviews,neighbourhood,property_type,neighbourhood_freq,property_type_freq
44077,1.0,1,2.0,2.0,1.0,2.0,30.0,76.0,4.81,4.76,4.68,144400,"Churchtown, Ireland",Private room in bungalow,0.00044802867383512545,0.004032258064516129
85156,1.0,1,2.0,2.0,1.0,1.0,21.0,91.0,4.81,4.76,4.64,117649,"Churchtown, Ireland",Private room in bungalow,0.00044802867383512545,0.004032258064516129
159889,1.0,0,3.0,1.0,1.0,1.0,14.0,45.0,4.75,4.71,4.65,202500,"Dublin, Ireland",Private room in home,0.031137992831541218,0.22334229390681004
165828,0.75,0,4.0,5.0,1.0,3.0,365.0,256.0,4.67,4.73,4.4,7056,"Dublin, Ireland",Entire rental unit,0.031137992831541218,0.2318548387096774
165829,0.75,0,4.0,5.0,1.0,3.0,365.0,228.0,4.72,4.76,4.4,7225,"Dublin, Ireland",Entire rental unit,0.031137992831541218,0.2318548387096774
237465,1.0,0,3.0,2.0,1.0,1.0,4.0,74.0,4.56,4.57,4.39,337561,"Dublin, Ireland",Entire rental unit,0.031137992831541218,0.2318548387096774
245903,1.0,1,1.0,1.0,1.0,1.0,180.0,30.0,4.94,4.88,4.67,2401,"Lucan, County Dublin, Ireland",Private room in home,0.005824372759856631,0.22334229390681004
266654,0.71,0,1.0,1.0,1.0,1.0,12.0,34.0,4.86,4.7,4.55,5041,"Dublin, Ireland",Private room in home,0.031137992831541218,0.22334229390681004
274969,1.0,0,1.0,4.0,2.0,2.0,60.0,151.0,5.0,5.0,5.0,4,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
292757,1.0,1,1.0,9.0,4.0,5.0,1125.0,130.0,4.94,4.83,4.95,240100,"Dublin, Ireland",Entire home,0.031137992831541218,0.1646505376344086
302554,1.0,0,8.0,5.0,1.0,2.0,365.0,197.0,4.68,4.82,4.52,6084,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
302634,1.0,0,8.0,2.0,1.0,2.0,365.0,105.0,4.65,4.73,4.56,31684,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
333950,1.0,1,2.0,2.0,1.0,1.0,5.0,98.0,4.78,4.58,4.9,88804,"Dublin, County Dublin, Ireland",Private room in townhouse,0.11559139784946236,0.02486559139784946
365854,1.0,0,1.0,2.0,1.0,1.0,365.0,187.0,4.24,4.45,4.32,38416,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
374792,0.75,0,4.0,4.0,1.0,3.0,365.0,239.0,4.5,4.62,4.41,1369,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
380174,1.0,0,1.0,2.0,1.0,1.0,180.0,180.0,4.58,4.25,4.75,144,Unknown,Entire condo,0.5945340501792115,0.08109318996415771
419987,1.0,0,8.0,6.0,1.0,3.0,365.0,224.0,4.78,4.81,4.53,31684,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
424596,1.0,1,4.0,3.0,1.0,1.0,1124.0,148.0,4.85,4.91,4.63,442225,"Dublin, County Dublin, Ireland",Entire loft,0.11559139784946236,0.0031362007168458782
426326,1.0,0,3.0,3.0,3.0,3.0,14.0,125.0,4.61,4.5,4.56,71289,"Dublin, County Dublin, Ireland",Private room in home,0.11559139784946236,0.22334229390681004
427077,1.0,1,4.0,3.0,1.0,1.0,1124.0,157.0,4.84,4.91,4.62,380689,"Dublin, County Dublin, Ireland",Entire loft,0.11559139784946236,0.0031362007168458782
427495,1.0,0,3.0,2.0,17.0,1.0,12.0,110.0,4.6,4.5,4.51,35344,"Dublin, County Dublin, Ireland",Private room in home,0.11559139784946236,0.22334229390681004
451611,1.0,1,2.0,2.0,1.0,1.0,31.0,157.0,4.65,4.5,4.88,425104,Ireland,Entire condo,0.0008960573476702509,0.08109318996415771
468082,1.0,1,3.0,5.0,2.0,3.0,21.0,135.0,4.73,4.75,4.79,171396,"Lucan, County Dublin, Ireland",Private room in home,0.005824372759856631,0.22334229390681004
522667,1.0,1,4.0,3.0,1.0,1.0,1124.0,148.0,4.82,4.94,4.65,294849,"Dublin, County Dublin, Ireland",Entire loft,0.11559139784946236,0.0031362007168458782
526767,1.0,1,3.0,3.0,0.0,2.0,60.0,180.0,4.91,4.92,4.93,490000,"Dublin, Ireland",Entire loft,0.031137992831541218,0.0031362007168458782
587218,1.0,1,1.0,2.0,1.0,1.0,7.0,90.0,4.98,4.97,4.81,102400,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
592840,1.0,1,3.0,1.0,1.0,1.0,10.0,74.0,4.91,4.97,4.94,15876,"Lucan, County Dublin, Ireland",Private room in home,0.005824372759856631,0.22334229390681004
631270,1.0,1,2.0,1.0,1.0,2.0,30.0,111.0,4.89,4.89,4.84,4356,"Ringsend, Dublin, Ireland",Private room in townhouse,0.00044802867383512545,0.02486559139784946
654589,1.0,0,2.0,4.0,2.0,3.0,1125.0,200.0,4.75,4.82,4.94,450241,"Dublin, Ireland",Entire condo,0.031137992831541218,0.08109318996415771
690119,1.0,1,1.0,4.0,2.0,2.0,14.0,365.0,4.9,4.85,4.74,63001,"Dundrum, Dublin, Ireland",Entire cottage,0.00022401433691756272,0.006048387096774193
726011,1.0,1,1.0,3.0,1.0,2.0,1125.0,146.0,4.93,4.91,4.970000000000001,51529,"Skerries, Co. Dublin, Ireland",Entire rental unit,0.00022401433691756272,0.2318548387096774
726075,1.0,0,10.0,5.0,3.0,5.0,90.0,125.0,4.5,4.25,5.0,16,"Dublin, Ireland",Entire townhouse,0.031137992831541218,0.018145161290322582
742656,0.83,0,2.0,2.0,1.0,1.0,1001.0,70.0,4.59,4.42,4.78,245025,"Dublin, Ireland",Private room in rental unit,0.031137992831541218,0.09363799283154121
871174,1.0,0,3.0,3.0,1.0,3.0,30.0,62.0,4.56,4.3,4.65,131769,"Clontarf, Dublin, Ireland",Private room in home,0.0029121863799283156,0.22334229390681004
872539,1.0,1,1.0,4.0,2.0,2.0,7.0,298.0,4.81,4.92,4.54,26896,Unknown,Entire cottage,0.5945340501792115,0.006048387096774193
998407,1.0,0,3.0,2.0,0.0,1.0,4.0,64.0,4.31,4.44,4.3,122500,"Donaghmede, Dublin, Ireland",Entire rental unit,0.00022401433691756272,0.2318548387096774
999963,1.0,0,2.0,6.0,3.0,8.0,365.0,405.0,4.91,4.73,4.73,121,"Dublin, Leinster, Ireland",Entire home,0.0006720430107526882,0.1646505376344086
1086416,1.0,1,1.0,2.0,1.0,1.0,7.0,136.0,4.88,4.94,4.61,88209,"Dublin, Ireland",Entire rental unit,0.031137992831541218,0.2318548387096774
1173029,1.0,1,1.0,4.0,2.0,2.0,30.0,320.0,4.83,4.83,4.76,255025,"Dublin, Ireland",Entire home,0.031137992831541218,0.1646505376344086
1207950,1.0,1,1.0,8.0,4.0,4.0,28.0,390.0,4.94,4.97,4.85,10404,"Ballinteer, Dublin, Ireland",Entire home,0.00022401433691756272,0.1646505376344086
1255270,1.0,1,2.0,1.0,1.0,0.0,360.0,36.0,4.91,4.95,4.59,484,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1270261,0.67,0,1.0,6.0,1.0,6.0,1125.0,50.0,4.85,4.83,4.75,169,"Dublin, Ireland",Private room in home,0.031137992831541218,0.22334229390681004
1299470,1.0,0,1.0,12.0,5.0,8.0,365.0,585.0,4.88,5.0,4.88,64,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1364560,1.0,0,2.0,2.0,1.0,2.0,5.0,100.0,4.73,4.89,4.43,29241,"Dublin, Ireland",Private room in home,0.031137992831541218,0.22334229390681004
1407832,1.0,0,1.0,6.0,4.0,4.0,28.0,444.0,4.94,4.88,4.79,4225,"Blackrock, Dublin, Ireland",Entire home,0.0008960573476702509,0.1646505376344086
1466234,1.0,1,1.0,1.0,1.0,1.0,30.0,56.0,4.79,4.68,4.57,52441,"Dublin, Ireland",Private room in home,0.031137992831541218,0.22334229390681004
1478255,1.0,0,1.0,4.0,1.0,3.0,365.0,238.0,4.67,4.67,4.73,1089,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1559929,1.0,0,2.0,1.0,1.0,1.0,4.0,85.0,4.92,4.95,4.92,4356,"Dublin, Ireland",Private room in home,0.031137992831541218,0.22334229390681004
1596451,1.0,0,1.0,8.0,3.0,4.0,7.0,1000.0,4.61,4.18,3.6500000000000004,324,"Dublin 3, Ireland",Entire home,0.00022401433691756272,0.1646505376344086
1600779,1.0,0,2.0,2.0,1.0,1.0,4.0,110.0,4.91,4.87,4.89,6241,"Dublin, Ireland",Private room in townhouse,0.031137992831541218,0.02486559139784946
1729959,1.0,0,2.0,6.0,3.0,5.0,1125.0,215.0,4.88,4.0,4.88,64,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1906221,1.0,1,3.0,2.0,1.0,1.0,90.0,138.0,4.9,4.94,4.61,362404,"Dolphins Barn, Dublin, Ireland",Private room in condo,0.00044802867383512545,0.05040322580645161
1943366,1.0,0,8.0,6.0,1.0,2.0,365.0,224.0,4.82,4.87,4.67,27225,"Dublin, Ireland",Entire condo,0.031137992831541218,0.08109318996415771
1963074,1.0,0,1.0,2.0,1.0,1.0,1125.0,125.0,4.97,4.98,4.81,611524,"Glasnevin, Dublin, Ireland",Private room in home,0.0006720430107526882,0.22334229390681004
2026810,0.92,0,2.0,1.0,3.0,1.0,1125.0,58.0,4.74,4.71,4.87,147456,"Ranelagh, Dublin, Ireland",Private room in home,0.0017921146953405018,0.22334229390681004
2164444,0.9,0,3.0,2.0,1.0,1.0,30.0,91.0,4.53,4.41,4.81,321489,"Dublin, Ireland",Private room in townhouse,0.031137992831541218,0.02486559139784946
2241137,0.7,0,4.0,8.0,1.0,1.0,365.0,97.0,4.8,4.65,4.7,400,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
2275065,1.0,0,1.0,6.0,3.0,3.0,14.0,1000.0,4.85,4.95,4.95,1521,"Ballsbridge, Dublin, Ireland",Entire townhouse,0.0015681003584229391,0.018145161290322582
2283713,0.83,0,2.0,2.0,1.0,1.0,1001.0,79.0,4.59,4.46,4.86,136900,"Dublin, Ireland",Private room in rental unit,0.031137992831541218,0.09363799283154121
2345315,1.0,0,3.0,2.0,1.0,1.0,365.0,60.0,4.72,4.73,4.5,51984,"Dublin, Ireland",Private room in townhouse,0.031137992831541218,0.02486559139784946
2394893,1.0,1,3.0,2.0,1.0,1.0,21.0,104.0,4.93,4.94,4.8,72361,"Santry, Dublin, Ireland",Private room in bed and breakfast,0.0006720430107526882,0.013888888888888888
2415104,1.0,1,6.0,6.0,2.0,4.0,365.0,360.0,4.9,4.74,4.94,82369,"Dublin, Ireland",Entire home,0.031137992831541218,0.1646505376344086
2427857,1.0,1,3.0,2.0,1.0,0.0,31.0,102.0,4.96,4.94,4.81,74529,"Santry, Dublin, Ireland",Private room in townhouse,0.0006720430107526882,0.02486559139784946
2466169,1.0,1,2.0,2.0,0.0,1.0,120.0,69.0,4.659999999999999,4.7,4.64,56644,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
2471794,0.9,1,1.0,2.0,1.0,2.0,14.0,110.0,4.89,4.91,4.89,27556,"Dun Laoghaire, Dublin, Ireland",Private room in townhouse,0.0006720430107526882,0.02486559139784946
2486255,1.0,1,3.0,2.0,1.0,1.0,7.0,100.0,4.8,5.0,4.8,25,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
2489550,0.98,0,26.0,2.0,1.0,2.0,1125.0,138.0,4.88,4.87,4.97,236196,"Dublin, Ireland",Entire condo,0.031137992831541218,0.08109318996415771
2574203,1.0,1,1.0,1.0,1.0,1.0,3.0,58.0,4.91,4.92,4.72,322624,"Ballyfermot, Dublin, Ireland",Private room in townhouse,0.00044802867383512545,0.02486559139784946
2657582,0.83,0,1.0,2.0,1.0,1.0,360.0,65.0,4.95,4.95,4.8,400,"Milltown, Dublin 6, Ireland",Private room in condo,0.00022401433691756272,0.05040322580645161
2686112,0.8,0,1.0,2.0,1.0,1.0,1125.0,110.0,4.58,4.62,4.88,8464,"Dublin, Ireland",Private room in rental unit,0.031137992831541218,0.09363799283154121
2691951,1.0,0,1.0,4.0,2.0,2.0,14.0,320.0,4.959999999999999,4.99,4.9,12996,"Blackrock, Dublin, Ireland",Entire guest suite,0.0008960573476702509,0.008736559139784945
2734096,0.8,0,5.0,1.0,1.0,1.0,60.0,200.0,4.91,4.74,4.96,529,"Dublin, Ireland",Private room in rental unit,0.031137992831541218,0.09363799283154121
